Id,Created_By,Created_At,Description,Disciplines[]
11,warmup,1,Klammerlauf_02,10
11,warmup,2,LaufABC_06,10
11,mainex,1,ChinesischeMauer,10
11,mainex,2,Reaktionsstart_02,10
11,mainex,3,StaffelrennenMitKarten,10
11,mainex,4,BandSchrägHochspringen,10
11,ending,1,SchereSteinPapier,10
11,ending,2,Auslaufen,5
12,warmup,1,EinlaufenMitSprungseil,10
12,warmup,2,LaufABC_05,10
12,mainex,1,MitSeilFangen,10
12,mainex,2,BandSchrägHochspringen,10
12,mainex,3,WerfenOhneAnlauf,10
12,mainex,4,WerfenMitAnlauf,10
12,ending,1,ZweiRundenRollbrett,10
12,ending,2,Auslaufen,5
13,warmup,1,EinlaufenBällePrellen,10
13,warmup,2,LaufABC_07,10
13,mainex,1,StaffelrennenMitTransport,10
13,mainex,2,BandSchrägHochspringen,10
13,mainex,3,WerfenOhneAnlauf,10
13,mainex,4,WerfenMitAnlauf,10
13,ending,1,Biathlon,10
13,ending,2,Auslaufen,5
14,warmup,1,Autofahren,10
14,warmup,2,LaufABC_07,10
14,mainex,1,StarWars,10
14,mainex,2,StartAusVerschPositionen,10
14,mainex,3,SchereSteinPapierRennen,10
14,mainex,4,StaffelrennenMitKarten,10
14,ending,1,SchereSteinPapier,10
14,ending,2,Auslaufen,5
15,warmup,1,Zeitschätzlauf,10
15,warmup,2,LaufABC_01,10
15,mainex,1,StarWars,10
15,mainex,2,BeiWortRennen,10
15,mainex,3,SeilDannRennen,10
15,mainex,4,StaffelrennenMitHürden,10
15,ending,1,FormenAblaufen,10
15,ending,2,Auslaufen,5
16,warmup,1,Überholstaffel,10
16,warmup,2,LaufABC_05,10
16,mainex,1,StarWars,10
16,mainex,2,Hürdenbahn,10
16,mainex,3,HürdenbahnMitSchwungbein,10
16,mainex,4,Überholstaffel,10
16,ending,1,ZweiRundenRollbrett,10
16,ending,2,Auslaufen,5
17,warmup,1,FormenAblaufen,10
17,warmup,2,LaufABC_08,10
17,mainex,1,Staffelrennen,10
17,mainex,2,HürdenbahnEinfach,10
17,mainex,3,HürdenbahnMitSchwungbein,10
17,mainex,4,StaffelrennenMitHürden,10
17,ending,1,SechsTageRennen,10
17,ending,2,Auslaufen,5
18,warmup,1,Autofahren,10
18,warmup,2,LaufABC_09,10
18,mainex,1,Pendelstaffel,10
18,mainex,2,BallInReifenDopsen,15
18,mainex,3,HütchenAbwerfen,15
18,ending,1,Brennball,10
18,ending,2,Auslaufen,5
19,warmup,1,ZweiRundenRollbrett,10
19,warmup,2,LaufABC_07,10
19,mainex,1,TransportSprint,10
19,mainex,2,WerTrifftRollendenBall,15
19,mainex,3,SauDurchsDorf,15
19,mainex,4,WerfenOhneAnlauf,10
19,ending,1,Biathlon,10
19,ending,2,Auslaufen,5
20,warmup,1,CrosslaufAufRasen,10
20,warmup,2,LaufABC_05,10
20,mainex,1,PendelstaffelMitBloxxHürden,10
20,mainex,2,KoordinationsLeiter,10
20,mainex,3,HürdenbahnMitSchwungbein,10
20,mainex,4,Überholstaffel,10
20,ending,1,Klammerlauf_02,10
20,ending,2,Auslaufen,5
21,warmup,1,AnhängerAbhängerStaffelHürde,10
21,warmup,2,LaufABC_05,10
21,mainex,1,HürdenbahnMitStaffel,10
21,mainex,2,ReihenfolgeErarbeiten,10
21,mainex,3,HürdenbahnMitSchwungbein,10
21,mainex,4,MedibälleHinHerWerfen,10
21,ending,1,CrosslaufAufRasen,10
21,ending,2,Auslaufen,5
22,warmup,1,BällePrellenRennen,5
22,warmup,2,LaufABC_10,10
22,mainex,1,PendelstaffelMitHürden,10
22,mainex,2,HürdenbahnMitSchwungbein,10
22,mainex,3,WerfenOhneAnlauf,10
22,mainex,4,WerfenMitAnlauf,10
22,ending,1,Biathlon,10
22,ending,2,Auslaufen,5
23,warmup,1,ZweiRundenRollbrett,10
23,warmup,2,LaufABC_07,10
23,mainex,1,TransportSprintHürde,10
23,mainex,2,HürdenbahnMitSchwungbein,10
23,mainex,3,SauDurchsDorf,15
23,mainex,4,WerfenOhneAnlauf,10
23,ending,1,AnhängerAbhängerStaffelHürde,10
23,ending,2,Auslaufen,5
24,warmup,1,AnhängerAbhängerStaffelHürde,10
24,warmup,2,LaufABC_05,10
24,mainex,1,SeileRausziehen,10
24,mainex,2,KoordinationsLeiter,10
24,mainex,3,HürdenlaufenAnHand,10
24,mainex,4,Schattenlaufen,10
24,ending,1,CrosslaufAufRasen,10
24,ending,2,Auslaufen,5
25,warmup,1,LaufenZuMusik,10
25,warmup,2,LaufABC_11,10
25,mainex,1,SeileRausziehen,10
25,mainex,2,KoordinationsLeiter,10
25,mainex,3,Nummernwettläufe,10
25,mainex,4,Schattenlaufen,10
25,ending,1,StaffelMitEinholen,10
25,ending,2,Auslaufen,5
26,warmup,1,SeilspringenUndRunden,5
26,warmup,2,LaufABC_12,10
26,mainex,1,SeilspringenLangesSeil,10
26,mainex,2,Seilspringen,10
26,mainex,3,Stabweitsprung,10
26,mainex,4,Stabweitsprung,10
26,ending,1,AnhängerAbhängerStaffel,10
26,ending,2,Auslaufen,5
27,warmup,1,SeilspringenUndRunden,5
27,warmup,2,LaufABC_12,10
27,mainex,1,HüpfenderTausendfüßler,10
27,mainex,2,SteigesprüngeÜberBahn,10
27,mainex,3,Stabweitsprung,10
27,mainex,4,Stabweitsprung,10
27,ending,1,SechsTageRennen,10
27,ending,2,Auslaufen,5
28,warmup,1,FormenAblaufenAufRasen,10
28,warmup,2,LaufABC_04,10
28,mainex,1,LäuferGegenWerfer,10
28,mainex,2,BandKnotenHochspringen,10
28,mainex,3,AchterInKurvenLaufen,10
28,mainex,4,HochsprungAnAnlage,10
28,ending,1,Klammerlauf_03,10
28,ending,2,Auslaufen,5
29,warmup,1,FormenAblaufenAufRasen,10
29,warmup,2,LaufABC_04,10
29,mainex,1,LäuferGegenWerfer,10
29,mainex,2,BandKnotenHochspringen,10
29,mainex,3,TurnenAufMatte,10
29,mainex,4,HochsprungAnAnlage,10
29,ending,1,Klammerlauf_03,10
29,ending,2,Auslaufen,5
30,warmup,1,AnhängerAbhängerStaffelHürde,10
30,warmup,2,LaufABC_13,10
30,mainex,1,SeileRausziehen,10
30,mainex,2,KoordinationsLeiter,10
30,mainex,3,HürdenlaufenAnHand,10
30,mainex,4,Schattenlaufen,10
30,ending,1,CrosslaufAufRasenIntervalle,10
30,ending,2,Auslaufen,5
31,warmup,1,EinlaufenMitSprungseil,10
31,warmup,2,LaufABC_14,10
31,mainex,1,StarWars,10
31,mainex,2,Reaktionsstart_03,10
31,mainex,3,Pendelstaffel,10
31,mainex,4,BandSchrägHochspringen,10
31,ending,1,ZweiRundenRollbrett,10
31,ending,2,Auslaufen,5
32,warmup,1,ZweiRundenRollbrett,10
32,warmup,2,LaufABC_15,10
32,mainex,1,TransportSprintArme,10
32,mainex,2,WerTrifftRollendenBall,15
32,mainex,3,SauDurchsDorf,15
32,mainex,4,WerfenOhneAnlauf,10
32,ending,1,Biathlon,10
32,ending,2,Auslaufen,5
33,warmup,1,CrosslaufAufRasen,10
33,warmup,2,LaufABC_16,10
33,mainex,1,PendelstaffelMitHürden,10
33,mainex,2,KoordinationsLeiter,10
33,mainex,3,HürdenbahnMitSchwungbein,10
33,mainex,4,Überholstaffel,10
33,ending,1,Klammerlauf_03,10
33,ending,2,Auslaufen,5
34,warmup,1,CrosslaufAufRasen,10
34,warmup,2,LaufABC_17,10
34,mainex,1,PendelstaffelMitHürden,10
34,mainex,2,BeidbeinigeHürdensprünge,10
34,mainex,3,HürdenbahnMitSchwungbein,10
34,mainex,4,Überholstaffel,10
